,name,region,city,price,cuisine,url,latitude,longitude,description
10,aend,Austria,Wien,11111,Modern cuisine,https://guide.michelin.com/at/en/vienna/wien/restaurant/aend,48.18957,16.34115,"The clean and minimalist design immediately catches the eye, as do the striking brick arches overhead. The clear view into the open kitchen showcases the skill and dedication of Fabian Günzel's team. The pared-down interior is reflected in the set menu, which comprises up to 15 modern and creative courses, <span>...</span>"
11,Le Ciel by Toni Mörwald,Austria,Wien,11111,Classic cuisine,https://guide.michelin.com/at/en/vienna/wien/restaurant/le-ciel-by-toni-morwald,48.20209,16.37156,
12,Chez TJ,California,South San Francisco,1111,Contemporary,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/chez-tj,37.39468,-122.08044,
13,Protégé,California,South San Francisco,111,Contemporary,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/protege,37.427853,-122.14362,
14,Madera,California,San Francisco,111,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madera,37.42014,-122.21151,"Enveloped in the luxury of the Rosewood Sand Hill hotel, this elegant retreat boasts vaulted ceilings, a crackling fireplace, and a stunning backdrop of the Santa Cruz Mountains—think Silicon Valley meets Swiss chalet. Affluent techies clad in Patagonia vests flock here for the tranquil, sophisticated ambience and uncomplicated, ingredient-driven dishes <span>...</span>"
15,The Village Pub,California,San Francisco,111,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-village-pub,37.42897,-122.25178,
16,Plumed Horse,California,South San Francisco,1111,Contemporary,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/plumed-horse,37.25648,-122.03537,
17,Wakuriya,California,San Francisco,1111,Japanese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/wakuriya,37.52114,-122.3366,
18,Sushi Yoshizumi,California,San Francisco,1111,Japanese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sushi-yoshizumi,37.565075,-122.3211,
19,Rasa,California,San Francisco,11,Indian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/rasa,37.577522,-122.345985,
20,Maum,California,South San Francisco,1111,Korean,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/maum,37.72669,-122.414215,
21,Al's Place,California,San Francisco,11,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/al-s-place,37.748924,-122.42013,
22,Aster,California,San Francisco,111,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/aster,37.755054,-122.423134,
23,Omakase,California,San Francisco,1111,Japanese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/omakase,37.77077,-122.40298,
24,Commonwealth,California,San Francisco,11,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/commonwealth,37.761395,-122.41946,
25,Luce,California,San Francisco,111,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/luce,37.78194,-122.40498,
26,Birdsong,California,San Francisco,1111,American,https://guide.michelin.com/us/en/california/san-francisco/restaurant/birdsong,37.779495,-122.41048,
27,In Situ,California,San Francisco,1111,International,https://guide.michelin.com/us/en/california/san-francisco/restaurant/in-situ,37.785633,-122.40113,
28,Mourad,California,San Francisco,111,Moroccan,https://guide.michelin.com/us/en/california/san-francisco/restaurant/mourad,37.78695,-122.39987,
29,Hashiri,California,San Francisco,1111,Japanese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/hashiri,37.783062,-122.40754,
30,Angler,California,San Francisco,1111,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/angler,37.793167,-122.39213,
31,Rich Table,California,San Francisco,111,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/rich-table,37.774914,-122.42271,
32,Kin Khao,California,San Francisco,11,Thai,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kin-khao,37.785267,-122.40951,
33,Michael Mina,California,San Francisco,1111,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/michael-mina,37.79349,-122.399574,
34,Sons & Daughters,California,San Francisco,1111,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sons-daughters,37.79037,-122.40917,
35,Mister Jiu's,California,San Francisco,111,Chinese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/mister-jius,37.79371,-122.406654,
36,Nico,California,San Francisco,111,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/nico,37.795803,-122.40333,
37,jū-ni,California,San Francisco,1111,Japanese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/ju-ni,37.77672,-122.43886,
38,Keiko à Nob Hill,California,San Francisco,1111,Fusion,https://guide.michelin.com/us/en/california/san-francisco/restaurant/keiko-a-nob-hill,37.793106,-122.41445,
39,The Progress,California,San Francisco,111,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-progress,37.78371,-122.43282,
40,State Bird Provisions,California,San Francisco,11,American,https://guide.michelin.com/us/en/california/san-francisco/restaurant/state-bird-provisions,37.783737,-122.43283,
41,Octavia,California,San Francisco,111,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/octavia,37.787857,-122.42709,
42,SPQR,California,San Francisco,111,Italian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/spqr,37.78732,-122.43375,
43,Lord Stanley,California,San Francisco,111,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/lord-stanley,37.79592,-122.42208,
44,Kinjo,California,San Francisco,1111,Japanese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kinjo,37.79699,-122.422005,
45,Sorrel,California,San Francisco,111,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sorrel,37.788334,-122.44614,
46,Gary Danko,California,San Francisco,1111,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/gary-danko,37.80599,-122.42066,
47,Bar Crenn,California,San Francisco,111,French,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bar-crenn,37.798435,-122.43581,
48,Spruce,California,San Francisco,111,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/spruce,37.78772,-122.45264,
49,Wako,California,San Francisco,1111,Japanese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/wako,37.783035,-122.461525,
50,Madcap,California,San Francisco,1111,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madcap,37.974712,-122.56168,
51,Aubergine,California,Monterey,1111,Contemporary,https://guide.michelin.com/us/en/california/monterey/restaurant/aubergine,36.55406,-121.924355,
52,Kenzo,California,San Francisco,1111,Japanese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kenzo,38.29924,-122.28928,
53,La Toque,California,San Francisco,1111,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/la-toque,38.30351,-122.28349,
54,Bouchon,California,San Francisco,111,French,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bouchon,38.40258,-122.3619,"While it may be set smack dab in the midst of quaint&nbsp;Yountville, Thomas&nbsp;Keller's take on the lively French bistro paints a scene that may as well be straight out of Paris. Picture red velvet booths,&nbsp;marble tables, polished brass,&nbsp;and that iconic&nbsp;tiled floor. Then throw in a buzzy scene dominated by bon <span>...</span>"
55,Auberge du Soleil,California,San Francisco,1111,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/auberge-du-soleil,38.49199,-122.40534,
56,Farmhouse Inn & Restaurant,California,San Francisco,1111,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/farmhouse-inn-restaurant,38.49039,-122.8835,"Nestled in a quiet, woodsy corner of Sonoma County, this inn draws&nbsp;guests thanks to its dining room’s soothing colors, rustic-elegant décor, crackling fireplace and numerous intimate nooks, including an enclosed patio. The menu shows a clear&nbsp;focus on seasonality, with a penchant for all things Californian. Kanpachi, set against ripe avocado <span>...</span>"
57,The Kitchen,California,Sacramento,1111,Contemporary,https://guide.michelin.com/us/en/california/us-sacramento/restaurant/the-kitchen559371,38.58894,-121.41424,
58,Madrona Manor,California,San Francisco,1111,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madrona-manor,38.60428,-122.88647,
59,Shin Sushi,California,Los Angeles,111,Japanese,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shin-sushi,34.15784,-118.49415,
60,Rustic Canyon,California,Los Angeles,111,Californian,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/rustic-canyon,34.024952,-118.49118,
61,Dialogue,California,Los Angeles,1111,Contemporary,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/dialogue,34.01679,-118.49748,
62,Kato,California,Los Angeles,111,Asian,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kato,34.041683,-118.460915,
63,CUT,California,Los Angeles,1111,Steakhouse,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/cut559418,34.067036,-118.401024,
64,Nozawa Bar,California,Los Angeles,1111,Japanese,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/nozawa-bar,34.0683,-118.39849,
65,Shunji,California,Los Angeles,1111,Japanese,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shunji,34.028496,-118.45195,
66,Maude,California,Los Angeles,1111,Contemporary,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/maude,34.064346,-118.39904,
67,Mori Sushi,California,Los Angeles,1111,Japanese,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/mori-sushi,34.033398,-118.44229,
68,Trois Mec,California,Los Angeles,1111,Contemporary,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/trois-mec,34.084255,-118.33851,
69,Osteria Mozza,California,Los Angeles,111,Italian,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/osteria-mozza,34.08342,-118.338974,
70,Kali,California,Los Angeles,111,Californian,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kali,34.083443,-118.32455,
71,Le Comptoir,California,Los Angeles,1111,Californian,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/le-comptoir,34.06354,-118.30057,
72,Q Sushi,California,Los Angeles,1111,Japanese,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/q-sushi,34.046883,-118.255844,
73,Shibumi,California,Los Angeles,1111,Japanese,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shibumi559644,34.044155,-118.256134,
74,Hayato,California,Los Angeles,1111,Japanese,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/hayato,34.03311,-118.24265,
75,Bistro Na's,California,Los Angeles,11,Chinese,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/bistro-na-s,34.104412,-118.07159,
76,Orsa & Winston,California,Los Angeles,1111,Fusion,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/orsa-winston,33.92145,-118.275406,
77,Taco María,California,Costa Mesa,111,Mexican,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/taco-maria,33.69475,-117.924965,
78,Hana re,California,Costa Mesa,1111,Japanese,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/hana-re,33.67759,-117.886566,
79,Addison,California,San Diego,1111,Contemporary,https://guide.michelin.com/us/en/california/us-san-diego/restaurant/addison,32.939903,-117.20013,
80,Parachute,Chicago,Chicago,11,Fusion,https://guide.michelin.com/us/en/illinois/chicago/restaurant/parachute,41.94483,-87.70638,
81,Goosefoot,Chicago,Chicago,1111,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/goosefoot,41.96856,-87.69596,
82,Elizabeth,Chicago,Chicago,1111,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/elizabeth,41.969555,-87.688736,"A fresh chapter has commenced at this venerable establishment,&nbsp;where new ownership&nbsp;in Tim Lacey&nbsp;and Executive Chef Ian Jones keep the spirit alive and&nbsp;kicking. The space showcases a simple, cozy aesthetic with cork-brown cement floors, chunky wood tables, and sleek white walls. But the highlight, as always, is the&nbsp;open kitchen shielded by <span>...</span>"
83,EL Ideas,Chicago,Chicago,1111,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/el-ideas,41.863,-87.68686,
84,Band of Bohemia,Chicago,Chicago,111,Gastropub,https://guide.michelin.com/us/en/illinois/chicago/restaurant/band-of-bohemia,41.967308,-87.67477,
85,Schwa,Chicago,Chicago,1111,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/schwa,41.90888,-87.66792,
86,Entente,Chicago,Chicago,111,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/entente,41.93721,-87.6652,
87,Elske,Chicago,Chicago,1111,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/elske,41.884426,-87.66071,
88,Dusek's (Board & Beer),Chicago,Chicago,11,Gastropub,https://guide.michelin.com/us/en/illinois/chicago/restaurant/dusek-s-board-beer,41.857853,-87.65757,
89,Roister,Chicago,Chicago,111,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/roister,41.886658,-87.65187,
90,Boka,Chicago,Chicago,111,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/boka,41.91363,-87.64806,
91,Blackbird,Chicago,Chicago,111,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/blackbird,41.88423,-87.64356,
92,Sepia,Chicago,Chicago,111,American,https://guide.michelin.com/us/en/illinois/chicago/restaurant/sepia,41.88394,-87.64247,
93,North Pond,Chicago,Chicago,111,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/north-pond,41.9296,-87.63762,
94,Everest,Chicago,Chicago,1111,French,https://guide.michelin.com/us/en/illinois/chicago/restaurant/everest,41.87597,-87.63212,
95,Topolobampo,Chicago,Chicago,1111,Mexican,https://guide.michelin.com/us/en/illinois/chicago/restaurant/topolobampo,41.89047,-87.63085,
96,Spiaggia,Chicago,Chicago,1111,Italian,https://guide.michelin.com/us/en/illinois/chicago/restaurant/spiaggia,41.90062,-87.62457,
97,Monte,Croatia,Rovinj,11111,Creative,https://guide.michelin.com/hr/en/istria/rovinj/restaurant/monte,45.08279,13.631168,"Danijel Dekic has succeeded in the arduous task of making a name for himself as a reference for haute cuisine in a country that is starting to establish itself in the world of gourmet dining. His cuisine is spectacular, almost theatrical, in its presentation, as well as being highly creative, <span>...</span>"
98,Draga di Lovrana,Croatia,Lovran,11111,Modern cuisine,https://guide.michelin.com/hr/en/primorje-gorski-kotar/lovran/restaurant/draga-di-lovrana,45.275867,14.251401,"It is the view from Draga di Lovrana, which has been a hotel since the Austro-Hungarian Empire, which really impresses guests. Perched in a secluded location, the hotel looks out at the bay and its islands below, while in the other direction, wooded hills dotted with charming villages extend inland. <span>...</span>"
99,Noel,Croatia,Zagreb,11111,Modern cuisine,https://guide.michelin.com/hr/en/zagreb-region/zagreb/restaurant/noel,45.811054,15.988205,"New chef Bruno Vokal may be young but, having worked at other Michelin-starred restaurants, he has an excellent CV and is now at the helm at this restaurant with its soft lighting and trendy, internationally inspired furnishings. Vokal has an interesting connection with Croatian culinary traditions, which he reinterprets with <span>...</span>"
100,Pelegrini,Croatia,Šibenik,11111,Modern cuisine,https://guide.michelin.com/hr/en/sibenik-knin/sibenik/restaurant/pelegrini,43.73603,15.888903,"The rich gastronomic heritage of <i>Šibenik </i>dates back to the Roman period and has been influenced by the Venetians, the Ottoman Empire and the French over subsequent centuries. Today, <i>Pelegrini </i>showcases local ingredients such as mussels, oysters, sea snails, sea urchins and different species of fish, as well as meat-based <span>...</span>"
101,360º,Croatia,Dubrovnik,11111,Modern cuisine,https://guide.michelin.com/hr/en/dubrovnik-neretva/dubrovnik/restaurant/360%C2%BA,42.641563,18.111523,"A magical setting, starting with the entrance through Dubrovnik’s imposing city walls. From here, you’re welcomed with real professionalism and then accompanied – if the weather allows – to the terrace, where the stunning view takes in the rooftops of this exquisite city, the tourist port, plus glimpses of the <span>...</span>"
102,Field,Czech Republic,Praha,11111,Modern cuisine,https://guide.michelin.com/cz/en/prague/praha/restaurant/field,50.0919,14.42193,"Two friends run this stylishly understated restaurant. Czech dishes mix classic and modern elements and some are finished at the table by the engaging team. Seasonality leads the way, so curing plays a key role throughout the year. As well as wine pairings, they offer interesting non-alcoholic drinks matches."
103,La Degustation Bohême Bourgeoise,Czech Republic,Praha,11111,Modern cuisine,https://guide.michelin.com/cz/en/prague/praha/restaurant/la-degustation-boheme-bourgeoise,50.09115,14.42511,"This iconic restaurant sits within a historic building in the heart of Prague and comes with a wall chock full of wines and a buzzy, laid-back vibe. Choose from a 3 or 5 course set menu where well-judged, judiciously seasoned Czech dishes echo the seasons and flavours burst through."
104,Gastromé,Denmark,Aarhus,111,Modern cuisine,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/gastrome,56.15788,10.20937,"<span><span><span>This intimate, keenly run Latin Quarter restaurant features a semi open plan kitchen and stark white walls punctuated with contemporary art. Various menus are available, with added ‘snacks’ – and wines to match if desired. Refined, complex cooking showcases top-notch seasonal produce and modern techniques.</span></span></span>"
105,Domestic,Denmark,Aarhus,111,Modern cuisine,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/domestic,56.15893,10.212132,"This restaurant sets itself the challenge of using only Danish ingredients – hence the name – so expect lots of different techniques, creativity and imagination in their 4 and 8 course menus. It’s housed in a period property that’s been everything from a school to a dairy; the burnt oak <span>...</span>"
106,Substans,Denmark,Aarhus,111,Modern cuisine,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/substans,56.15415,10.20372,"A light-filled restaurant with great views over the port; the stylish, pared-back interior uses natural materials and has a subtle 1960s feel. A no-choice menu features the best of local ingredients, carefully prepared to reveal their natural flavours. Sophisticated dishes have creative, contrasting combinations and are presented by the chefs <span>...</span>"
107,Frederikshøj,Denmark,Aarhus,1111,Creative,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/frederikshoj,56.12497,10.208638,"<span><span><span>Set in the former staff lodge to the Royal Palace, this restaurant is smart, luxurious and contemporary. Ask for a table by the floor to ceiling windows for a view over the gardens and out to sea. The elaborate, creative, modern dishes have French influences and service is professional and <span>...</span></span></span></span>"
108,Me‚Mu,Denmark,Vejle,111,Modern cuisine,https://guide.michelin.com/dk/en/vejle/restaurant/me%E2%80%9Amu,55.70901,9.53302,
109,Ti Trin Ned,Denmark,Fredericia,111,Modern cuisine,https://guide.michelin.com/dk/en/southern-denmark/fredericia/restaurant/ti-trin-ned,55.56659,9.752689,"Elegant Ti Trin Ned offers beautiful sea views. Sourcing is all-important and the chef-owner spends much time on their farm planting and harvesting. Two modern set menus showcase original, understated dishes with a classical base and real depth of flavour. They offer juice matches as well as wine pairings."
110,Slotskøkkenet,Denmark,Hørve,1111,Creative,https://guide.michelin.com/dk/en/zealand/horve/restaurant/slotskokkenet,55.771236,11.390805,"Expect to be taken on a gastronomic journey thanks to around 20 carefully crafted, innovative and intensely flavoured dishes created using local, foraged, seasonal or preserved produce. This atmospheric cellar restaurant is set in the former kitchens of an impressive 800 year old castle."
111,Søllerød Kro,Denmark,København,11,Modern cuisine,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/sollerod-kro,55.81325,12.49548,"A characterful 17C thatched inn by a pond in a picturesque village, with a delightful courtyard terrace and three elegant, intimate rooms. In keeping with the surroundings, cooking has a classical heart but is presented in a modern style. Dishes have deceptive depth and the wine list is a tome <span>...</span>"
112,Jordnær,Denmark,København,111,Danish,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/jordnaer,55.748226,12.541014,"A sophisticated, contemporary restaurant overseen by the charming Tina, who ensures that every guest enjoys a special experience. Eric Kragh Vildgaard’s menu is underpinned by excellent quality ingredients; caviar plays a prominent role. Dishes are creative, modern and original with bold, distinct flavours."
113,Relæ,Denmark,København,11,Modern cuisine,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/relae,55.693233,12.543222,
114,Kiin Kiin,Denmark,København,11,Thai,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/kiin-kiin,55.69188,12.55754,"A charming restaurant, whose name means ‘come and eat’. Start with refined versions of street food in the moody lounge, then head for the tasteful dining room decorated with golden Buddhas and fresh flowers. Menus offer modern, personal interpretations of Thai dishes, which have vibrant flavour combinations."
115,formel B,Denmark,København,11,Modern cuisine,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/formel-b,55.67031,12.53798,"The friendly team create a relaxed environment at this appealing modern restaurant. Menus provide flexibility and the complex small plates are crafted with an assured touch; try at least one of their signature dishes. The wine list offers plenty of Burgundy and Claret, along with some modern producers."
116,Kokkeriet,Denmark,København,111,Modern cuisine,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/kokkeriet,55.68768,12.58492,"This very welcoming restaurant, once a corner shop, is intimate and contemporary. The kitchen takes Danish classics and adds its own modern interpretation; dishes are fresh and colourful and the beautiful sauces come with layers of flavour. The focus is on the tasting menu but vegetarians and vegans are also <span>...</span>"
117,Clou,Denmark,København,1111,Modern cuisine,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/clou,55.68342,12.58497,
118,Marchal,Denmark,København,11,Modern cuisine,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/marchal,55.68034,12.58508,"Named after Hotel D’Angleterre’s 1755 founder, this stylish restaurant boasts a floor to ceiling wine cellar and views out over the Royal Square. Precisely prepared dishes are modern in their presentation but built on a classical French base. They also offer an extensive caviar collection."
119,Kong Hans Kælder,Denmark,København,1111,Classic French,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/kong-hans-kaelder,55.6787,12.584003,"This elegant restaurant is set in an intimate, historic and wonderfully atmospheric cellar, where a charming team attend to your every need. Cooking is rooted in French gastronomy, with its luxury ingredients and rich flavours, but the chef also stamps his own mark on the accomplished, imaginative dishes, with some <span>...</span>"
120,Stud!o at The Standard,Denmark,København,111,Creative,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/stud-o-at-the-standard,55.67799,12.59191,
121,108,Denmark,København,111,Modern cuisine,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/108,55.67785,12.5980835,
122,Era Ora,Denmark,København,11,Italian,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/era-ora,55.673004,12.591292,
123,Alouette,Denmark,København,111,Modern cuisine,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/alouette,55.66265,12.57634,"There’s an underground, rock ‘n’ roll vibe to this light, modern restaurant, with its hidden location in a former pencil factory, accessed via a graffiti-covered lift. The experienced chef works closely with local farmers to ensure ingredients are at their peak, and dishes are pared-back, balanced and sublimely flavoured, with <span>...</span>"
124,Frederiksminde,Denmark,Præstø,111,Creative,https://guide.michelin.com/dk/en/zealand/praesto/restaurant/frederiksminde,55.12417,12.04623,"The team at this charming restaurant are passionate about sourcing ingredients, with a focus on high quality seasonal and local produce, including many vegetables and herbs from their own kitchen garden. The creative, technically adept cooking comes with interesting textures and explosions of flavour."
125,Kadeau Bornholm,Denmark,Pedersker,1111,Creative,https://guide.michelin.com/dk/en/capital-region/pedersker/restaurant/kadeau-bornholm,55.00457,14.969216,"A remote beachside eatery with a relaxed atmosphere, an open kitchen and a superb sea panorama; this is best enjoyed from the terrace, although all tables have a view. Tasting menus showcase the finest island produce and the accomplished, original, highly seasonal cooking offers superbly balanced, contrasting flavours.<br>&nbsp;"
126,Ask,Finland,Helsingfors / Helsinki,111,Modern cuisine,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/ask,60.17236,24.95648,
127,Grön,Finland,Helsingfors / Helsinki,111,Finnish,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/gron,60.16446,24.93308,"A warmly run restaurant where the open kitchen is the focal point and the chefs bring the dishes to the table to explain them. Cooking has a satisfying earthiness and clever use is made of both fresh and fermented ingredients, with vegetables given equal billing as meat and fish. Natural <span>...</span>"
128,Demo,Finland,Helsingfors / Helsinki,111,Modern cuisine,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/demo,60.164806,24.941635,"An unassuming-looking building hides this intimate room with oversized cotton pendant lights, striking red chairs, and candlelit tables. Choose 5, 6 or 7 courses from the set surprise menu. Finnish and European ingredients feature in modern dishes with a classic heart and a creative blend of textures and flavours. The <span>...</span>"
